"x" "y"
"84" -7211322.62400329 850682.192247575
"85" -7101322.62400329 850682.192247575
"86" -6991322.62400329 850682.192247575
"87" -6881322.62400329 850682.192247575
"88" -6771322.62400329 850682.192247575
"89" -6661322.62400329 850682.192247575
"90" -6551322.62400329 850682.192247575
"91" -6441322.62400329 850682.192247575
"92" -6331322.62400329 850682.192247575
"93" -6221322.62400329 850682.192247575
"94" -6111322.62400329 850682.192247575
"95" -6001322.62400329 850682.192247575
"96" -5891322.62400329 850682.192247575
"97" -5781322.62400329 850682.192247575
"98" -7761322.62400329 740682.192247575
"99" -7651322.62400329 740682.192247575
"100" -7541322.62400329 740682.192247575
"101" -7431322.62400329 740682.192247575
"102" -7321322.62400329 740682.192247575
"103" -7211322.62400329 740682.192247575
"104" -7101322.62400329 740682.192247575
"105" -6991322.62400329 740682.192247575
"106" -6881322.62400329 740682.192247575
"107" -6771322.62400329 740682.192247575
"108" -6661322.62400329 740682.192247575
"109" -6551322.62400329 740682.192247575
"110" -6441322.62400329 740682.192247575
"111" -6331322.62400329 740682.192247575
"112" -6221322.62400329 740682.192247575
"113" -6111322.62400329 740682.192247575
"114" -6001322.62400329 740682.192247575
"115" -5891322.62400329 740682.192247575
"116" -5781322.62400329 740682.192247575
"117" -5671322.62400329 740682.192247575
"118" -5561322.62400329 740682.192247575
"119" -5451322.62400329 740682.192247575
"120" -7761322.62400329 630682.192247575
"121" -7651322.62400329 630682.192247575
"122" -7541322.62400329 630682.192247575
"123" -7431322.62400329 630682.192247575
"124" -7321322.62400329 630682.192247575
"125" -7211322.62400329 630682.192247575
"126" -7101322.62400329 630682.192247575
"127" -6991322.62400329 630682.192247575
"128" -6881322.62400329 630682.192247575
"129" -6771322.62400329 630682.192247575
"130" -6661322.62400329 630682.192247575
"131" -6551322.62400329 630682.192247575
"132" -6441322.62400329 630682.192247575
"133" -6331322.62400329 630682.192247575
"134" -6221322.62400329 630682.192247575
"135" -6111322.62400329 630682.192247575
"136" -6001322.62400329 630682.192247575
"137" -5891322.62400329 630682.192247575
"138" -5781322.62400329 630682.192247575
"139" -5671322.62400329 630682.192247575
"140" -5561322.62400329 630682.192247575
"141" -5451322.62400329 630682.192247575
"142" -5341322.62400329 630682.192247575
"143" -5231322.62400329 630682.192247575
"144" -7761322.62400329 520682.192247575
"145" -7651322.62400329 520682.192247575
"146" -7541322.62400329 520682.192247575
"147" -7431322.62400329 520682.192247575
"148" -7321322.62400329 520682.192247575
"149" -7211322.62400329 520682.192247575
"150" -7101322.62400329 520682.192247575
"151" -6991322.62400329 520682.192247575
"152" -6881322.62400329 520682.192247575
"153" -6771322.62400329 520682.192247575
"154" -6661322.62400329 520682.192247575
"155" -6551322.62400329 520682.192247575
"156" -6441322.62400329 520682.192247575
"157" -6331322.62400329 520682.192247575
"158" -6221322.62400329 520682.192247575
"159" -6111322.62400329 520682.192247575
"160" -6001322.62400329 520682.192247575
"161" -5891322.62400329 520682.192247575
"162" -5781322.62400329 520682.192247575
"163" -5671322.62400329 520682.192247575
"164" -5561322.62400329 520682.192247575
"165" -5451322.62400329 520682.192247575
"166" -5341322.62400329 520682.192247575
"167" -5231322.62400329 520682.192247575
"168" -5121322.62400329 520682.192247575
"169" -7761322.62400329 410682.192247575
"170" -7651322.62400329 410682.192247575
"171" -7541322.62400329 410682.192247575
"172" -7431322.62400329 410682.192247575
"173" -7321322.62400329 410682.192247575
"174" -7211322.62400329 410682.192247575
"175" -7101322.62400329 410682.192247575
"176" -6991322.62400329 410682.192247575
"177" -6881322.62400329 410682.192247575
"178" -6771322.62400329 410682.192247575
"179" -6661322.62400329 410682.192247575
"180" -6551322.62400329 410682.192247575
"181" -6441322.62400329 410682.192247575
"182" -6331322.62400329 410682.192247575
"183" -6221322.62400329 410682.192247575
"184" -6111322.62400329 410682.192247575
"185" -6001322.62400329 410682.192247575
"186" -5891322.62400329 410682.192247575
"187" -5781322.62400329 410682.192247575
"188" -5671322.62400329 410682.192247575
"189" -5561322.62400329 410682.192247575
"190" -5451322.62400329 410682.192247575
"191" -5341322.62400329 410682.192247575
"192" -5231322.62400329 410682.192247575
"193" -5121322.62400329 410682.192247575
"194" -7871322.62400329 300682.192247575
"195" -7761322.62400329 300682.192247575
"196" -7651322.62400329 300682.192247575
"197" -7541322.62400329 300682.192247575
"198" -7431322.62400329 300682.192247575
"199" -7321322.62400329 300682.192247575
"200" -7211322.62400329 300682.192247575
"201" -7101322.62400329 300682.192247575
"202" -6991322.62400329 300682.192247575
"203" -6881322.62400329 300682.192247575
"204" -6771322.62400329 300682.192247575
"205" -6661322.62400329 300682.192247575
"206" -6551322.62400329 300682.192247575
"207" -6441322.62400329 300682.192247575
"208" -6331322.62400329 300682.192247575
"209" -6221322.62400329 300682.192247575
"210" -6111322.62400329 300682.192247575
"211" -6001322.62400329 300682.192247575
"212" -5891322.62400329 300682.192247575
"213" -5781322.62400329 300682.192247575
"214" -5671322.62400329 300682.192247575
"215" -5561322.62400329 300682.192247575
"216" -5451322.62400329 300682.192247575
