"x" "y"
"135" -6181938.56324443 847122.16519319
"136" -6071938.56324443 847122.16519319
"137" -5961938.56324443 847122.16519319
"138" -5851938.56324443 847122.16519319
"139" -7721938.56324443 737122.16519319
"140" -7611938.56324443 737122.16519319
"141" -7501938.56324443 737122.16519319
"142" -7391938.56324443 737122.16519319
"143" -7171938.56324443 737122.16519319
"144" -7061938.56324443 737122.16519319
"145" -6951938.56324443 737122.16519319
"146" -6841938.56324443 737122.16519319
"147" -6621938.56324443 737122.16519319
"148" -6511938.56324443 737122.16519319
"149" -6401938.56324443 737122.16519319
"150" -6291938.56324443 737122.16519319
"151" -6181938.56324443 737122.16519319
"152" -6071938.56324443 737122.16519319
"153" -5961938.56324443 737122.16519319
"154" -5851938.56324443 737122.16519319
"155" -5741938.56324443 737122.16519319
"156" -5631938.56324443 737122.16519319
"157" -5521938.56324443 737122.16519319
"158" -5411938.56324443 737122.16519319
"159" -7721938.56324443 627122.16519319
"160" -7611938.56324443 627122.16519319
"161" -7501938.56324443 627122.16519319
"162" -7281938.56324443 627122.16519319
"163" -7171938.56324443 627122.16519319
"164" -7061938.56324443 627122.16519319
"165" -6951938.56324443 627122.16519319
"166" -6731938.56324443 627122.16519319
"167" -6621938.56324443 627122.16519319
"168" -6511938.56324443 627122.16519319
"169" -6401938.56324443 627122.16519319
"170" -6291938.56324443 627122.16519319
"171" -6181938.56324443 627122.16519319
"172" -6071938.56324443 627122.16519319
"173" -5961938.56324443 627122.16519319
"174" -5851938.56324443 627122.16519319
"175" -5741938.56324443 627122.16519319
"176" -5631938.56324443 627122.16519319
"177" -5521938.56324443 627122.16519319
"178" -5411938.56324443 627122.16519319
"179" -5301938.56324443 627122.16519319
"180" -7721938.56324443 517122.16519319
"181" -7501938.56324443 517122.16519319
"182" -7391938.56324443 517122.16519319
"183" -7281938.56324443 517122.16519319
"184" -7171938.56324443 517122.16519319
"185" -7061938.56324443 517122.16519319
"186" -6951938.56324443 517122.16519319
"187" -6841938.56324443 517122.16519319
"188" -6731938.56324443 517122.16519319
"189" -6621938.56324443 517122.16519319
"190" -6511938.56324443 517122.16519319
"191" -6401938.56324443 517122.16519319
"192" -6291938.56324443 517122.16519319
"193" -6181938.56324443 517122.16519319
"194" -6071938.56324443 517122.16519319
"195" -5961938.56324443 517122.16519319
"196" -5851938.56324443 517122.16519319
"197" -5741938.56324443 517122.16519319
"198" -5631938.56324443 517122.16519319
"199" -5521938.56324443 517122.16519319
"200" -5411938.56324443 517122.16519319
"201" -5301938.56324443 517122.16519319
"202" -5191938.56324443 517122.16519319
"203" -7721938.56324443 407122.16519319
"204" -7501938.56324443 407122.16519319
"205" -7391938.56324443 407122.16519319
"206" -7281938.56324443 407122.16519319
"207" -7171938.56324443 407122.16519319
"208" -7061938.56324443 407122.16519319
"209" -6951938.56324443 407122.16519319
"210" -6841938.56324443 407122.16519319
"211" -6731938.56324443 407122.16519319
"212" -6621938.56324443 407122.16519319
"213" -6511938.56324443 407122.16519319
"214" -6401938.56324443 407122.16519319
"215" -6291938.56324443 407122.16519319
"216" -6181938.56324443 407122.16519319
"217" -6071938.56324443 407122.16519319
"218" -5961938.56324443 407122.16519319
"219" -5851938.56324443 407122.16519319
"220" -5741938.56324443 407122.16519319
"221" -5631938.56324443 407122.16519319
"222" -5521938.56324443 407122.16519319
"223" -5411938.56324443 407122.16519319
"224" -5301938.56324443 407122.16519319
"225" -5191938.56324443 407122.16519319
"226" -7831938.56324443 297122.16519319
"227" -7501938.56324443 297122.16519319
"228" -7391938.56324443 297122.16519319
"229" -7281938.56324443 297122.16519319
"230" -7171938.56324443 297122.16519319
"231" -7061938.56324443 297122.16519319
"232" -6951938.56324443 297122.16519319
"233" -6841938.56324443 297122.16519319
"234" -6731938.56324443 297122.16519319
"235" -6621938.56324443 297122.16519319
"236" -6511938.56324443 297122.16519319
"237" -6401938.56324443 297122.16519319
"238" -6291938.56324443 297122.16519319
"239" -6181938.56324443 297122.16519319
"240" -6071938.56324443 297122.16519319
"241" -5961938.56324443 297122.16519319
"242" -5851938.56324443 297122.16519319
"243" -5741938.56324443 297122.16519319
"244" -5631938.56324443 297122.16519319
"245" -5521938.56324443 297122.16519319
"246" -5411938.56324443 297122.16519319
"247" -5301938.56324443 297122.16519319
"248" -5191938.56324443 297122.16519319
"249" -5081938.56324443 297122.16519319
"250" -7831938.56324443 187122.16519319
"251" -7611938.56324443 187122.16519319
"252" -7501938.56324443 187122.16519319
"253" -7391938.56324443 187122.16519319
"254" -7281938.56324443 187122.16519319
"255" -7171938.56324443 187122.16519319
"256" -7061938.56324443 187122.16519319
"257" -6951938.56324443 187122.16519319
"258" -6841938.56324443 187122.16519319
"259" -6731938.56324443 187122.16519319
"260" -6621938.56324443 187122.16519319
"261" -6511938.56324443 187122.16519319
"262" -6401938.56324443 187122.16519319
"263" -6291938.56324443 187122.16519319
"264" -6181938.56324443 187122.16519319
"265" -6071938.56324443 187122.16519319
"266" -5961938.56324443 187122.16519319
"267" -5851938.56324443 187122.16519319
"268" -5741938.56324443 187122.16519319
"269" -5631938.56324443 187122.16519319
"270" -5521938.56324443 187122.16519319
"271" -5411938.56324443 187122.16519319
"272" -5301938.56324443 187122.16519319
"273" -5191938.56324443 187122.16519319
"274" -5081938.56324443 187122.16519319
"275" -7941938.56324443 77122.1651931899
"276" -7721938.56324443 77122.1651931899
"277" -7611938.56324443 77122.1651931899
"278" -7501938.56324443 77122.1651931899
"279" -7391938.56324443 77122.1651931899
"280" -7281938.56324443 77122.1651931899
"281" -7171938.56324443 77122.1651931899
"282" -7061938.56324443 77122.1651931899
"283" -6951938.56324443 77122.1651931899
"284" -6841938.56324443 77122.1651931899
"285" -6731938.56324443 77122.1651931899
"286" -6621938.56324443 77122.1651931899
"287" -6511938.56324443 77122.1651931899
"288" -6401938.56324443 77122.1651931899
"289" -6291938.56324443 77122.1651931899
"290" -6181938.56324443 77122.1651931899
"291" -6071938.56324443 77122.1651931899
"292" -5961938.56324443 77122.1651931899
"293" -5851938.56324443 77122.1651931899
"294" -5741938.56324443 77122.1651931899
"295" -5631938.56324443 77122.1651931899
"296" -5521938.56324443 77122.1651931899
"297" -5411938.56324443 77122.1651931899
"298" -5301938.56324443 77122.1651931899
"299" -5191938.56324443 77122.1651931899
"300" -5081938.56324443 77122.1651931899
"301" -7941938.56324443 -32877.8348068101
"302" -7831938.56324443 -32877.8348068101
"303" -7721938.56324443 -32877.8348068101
"304" -7611938.56324443 -32877.8348068101
"305" -7501938.56324443 -32877.8348068101
"306" -7391938.56324443 -32877.8348068101
"307" -7281938.56324443 -32877.8348068101
"308" -7171938.56324443 -32877.8348068101
"309" -7061938.56324443 -32877.8348068101
"310" -6951938.56324443 -32877.8348068101
"311" -6841938.56324443 -32877.8348068101
"312" -6731938.56324443 -32877.8348068101
"313" -6621938.56324443 -32877.8348068101
"314" -6511938.56324443 -32877.8348068101
"315" -6401938.56324443 -32877.8348068101
"316" -6291938.56324443 -32877.8348068101
"317" -6181938.56324443 -32877.8348068101
"318" -6071938.56324443 -32877.8348068101
"319" -5961938.56324443 -32877.8348068101
"320" -5851938.56324443 -32877.8348068101
"321" -5741938.56324443 -32877.8348068101
"322" -5631938.56324443 -32877.8348068101
"323" -5521938.56324443 -32877.8348068101
"324" -5411938.56324443 -32877.8348068101
"325" -5301938.56324443 -32877.8348068101
"326" -5191938.56324443 -32877.8348068101
"327" -5081938.56324443 -32877.8348068101
"328" -4971938.56324443 -32877.8348068101
"329" -4861938.56324443 -32877.8348068101
"330" -7721938.56324443 -142877.83480681
"331" -7611938.56324443 -142877.83480681
"332" -7501938.56324443 -142877.83480681
"333" -7391938.56324443 -142877.83480681
"334" -7281938.56324443 -142877.83480681
"335" -7171938.56324443 -142877.83480681
"336" -7061938.56324443 -142877.83480681
"337" -6951938.56324443 -142877.83480681
"338" -6841938.56324443 -142877.83480681
"339" -6731938.56324443 -142877.83480681
"340" -6621938.56324443 -142877.83480681
"341" -6511938.56324443 -142877.83480681
"342" -6401938.56324443 -142877.83480681
"343" -6291938.56324443 -142877.83480681
"344" -6181938.56324443 -142877.83480681
"345" -6071938.56324443 -142877.83480681
"346" -5961938.56324443 -142877.83480681
"347" -5851938.56324443 -142877.83480681
"348" -5741938.56324443 -142877.83480681
"349" -5631938.56324443 -142877.83480681
"350" -5521938.56324443 -142877.83480681
"351" -5411938.56324443 -142877.83480681
"352" -5301938.56324443 -142877.83480681
"353" -5191938.56324443 -142877.83480681
"354" -5081938.56324443 -142877.83480681
"355" -4971938.56324443 -142877.83480681
"356" -4861938.56324443 -142877.83480681
"357" -4751938.56324443 -142877.83480681
"358" -4641938.56324443 -142877.83480681
"359" -7831938.56324443 -252877.83480681
"360" -7721938.56324443 -252877.83480681
"361" -7611938.56324443 -252877.83480681
"362" -7501938.56324443 -252877.83480681
"363" -7391938.56324443 -252877.83480681
"364" -7281938.56324443 -252877.83480681
"365" -7171938.56324443 -252877.83480681
"366" -7061938.56324443 -252877.83480681
"367" -6951938.56324443 -252877.83480681
"368" -6841938.56324443 -252877.83480681
"369" -6731938.56324443 -252877.83480681
"370" -6621938.56324443 -252877.83480681
"371" -6511938.56324443 -252877.83480681
