Id	fly	side	image	rep	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30
c0003d01m18l1_2	c0003d01m18	l	1	2	-0.2529180508172572	0.06375599996809186	-0.23466622956953337	0.01681645524323821	-0.2667427428991124	-0.017325360014237436	-0.20784482080982572	-0.06570065950256007	-0.19569412387022997	-0.04823722166769648	-0.16670945917373312	0.021374726588950003	-0.13878597931752967	0.09079610005134178	-0.06157934346745929	0.01951109740966194	-0.06268909583262908	-0.00470381211836633	0.08919694877109292	-0.029835487440564343	0.08578118621521061	-0.09594721830345491	0.2920449681085817	0.17797440768783201	0.47267920599702423	0.0717667694755082	0.4622965865450026	-0.01633555982026228	0.18563095012039696	-0.18391023755748387
c0003d01m18l2_1	c0003d01m18	l	2	1	-0.2522707563353179	0.06265901208221926	-0.23497778176212372	0.017391081755581662	-0.2658280508114871	-0.01737496668970502	-0.20905001243168553	-0.06569743745429275	-0.19415427696149537	-0.04839195443896428	-0.16845297976715054	0.022520767987457294	-0.13910460234450195	0.0907022567049114	-0.06168361467973274	0.019279187374301936	-0.06367091359350313	-0.004868567864029673	0.08971319120891255	-0.030764198968379813	0.08694993060030512	-0.09516138107377964	0.2921207495788852	0.1781202959941389	0.4721980832153272	0.0714109330032857	0.46304218893934596	-0.01667630268868079	0.18516884514422152	-0.18314872572406435
c0003d01m18l2_2	c0003d01m18	l	2	2	-0.2529012696325567	0.06381389151072037	-0.23547332334066096	0.017455966078979722	-0.26741431694376216	-0.01745346966019027	-0.2085145323304371	-0.06552648734118988	-0.19573679550691522	-0.048520325607120156	-0.1645190215258979	0.022094540787712526	-0.13953086193063385	0.09074184422389034	-0.06105826683025396	0.01940589314549923	-0.06290635549582917	-0.005810966505300184	0.08915131295310555	-0.02981855849673281	0.08665553668191074	-0.09635986320086504	0.29188782644319033	0.177971036895451	0.4719669479763593	0.07113195442585116	0.4626138008916222	-0.015912430998813613	0.18577931859075936	-0.1832130252578919
c0003d01m18r1_1	c0003d01m18	r	1	1	-0.25195817273285426	0.06274496993999891	-0.23671974943989718	0.016477562744209202	-0.2663439954579881	-0.02013301776482938	-0.20734659146463927	-0.06742191800364136	-0.19673548329601515	-0.04796820378905033	-0.16471936206723736	0.02271474176011164	-0.1376659822181516	0.09100682411937402	-0.06384892019038436	0.02076151254639855	-0.06367331917558633	-0.005958416532561126	0.09183234647883065	-0.029552292364914228	0.08755382049226164	-0.09533651913809475	0.2947614063423231	0.18319444575433114	0.47311998305623937	0.07068005885450528	0.4595743290693381	-0.019785854824473745	0.18216969060376084	-0.18142389330136452
c0003d01m18r1_2	c0003d01m18	r	1	2	-0.2523985870384963	0.0614626768700101	-0.23628837969200284	0.016490973504234382	-0.264832210416877	-0.019937779540206837	-0.20805495865792523	-0.06666877028704184	-0.19746571737452923	-0.04717641118523698	-0.16449002257864292	0.023906561208740504	-0.13752665475593942	0.09231728059214814	-0.0629670783488588	0.020035120765836793	-0.06379148776803863	-0.006985456964184153	0.09087063893300767	-0.030606861015344804	0.08774855722612637	-0.09619726544536608	0.2946943967599781	0.18299544000683837	0.4731667968301032	0.07171826255623667	0.4597660582209786	-0.018873063692106985	0.1815686486611151	-0.18248070737455668
c0003d01m18r2_1	c0003d01m18	r	2	1	-0.25076443447405833	0.06324318840120036	-0.23662928194045868	0.016525873883309082	-0.26664969112576675	-0.01950974990501183	-0.20800987982366903	-0.06799818240939977	-0.19672520084565526	-0.04799697253612259	-0.1650652726809185	0.022591838807120467	-0.1384779403569677	0.09101728655904201	-0.063141370533651	0.02062803337352226	-0.06314880473195907	-0.005855894187542953	0.09085523323669334	-0.030087229936396936	0.08797713358663206	-0.09579087144792622	0.2959938135194218	0.18252346622862697	0.4735532846119723	0.07161160502241419	0.4581518855290723	-0.01876644952220799	0.18208052602931377	-0.18213594233062694
c0003d01m18r2_2	c0003d01m18	r	2	2	-0.2516045754869827	0.061970884208381205	-0.23665863042864357	0.016583627795344297	-0.2655963670781662	-0.019190786748662935	-0.20831092879991653	-0.06679916872693373	-0.19659418785059174	-0.048935614377898944	-0.16539268396434045	0.023676362014846117	-0.13859515189293684	0.09096485042043259	-0.06230585309299155	0.020852214315913907	-0.06337355701844576	-0.005822652890258805	0.09150626339805581	-0.029846968173373706	0.08755943325974368	-0.09569439434898519	0.2954125634902917	0.18225574671429412	0.47274643067106614	0.07142256452313274	0.45945229116064834	-0.01841210594141377	0.1817549536332091	-0.18302455878481808
c0003d01m19l1_1	c0003d01m19	l	1	1	-0.25399490571651345	0.062305539469848674	-0.23704495154264932	0.015083659985736683	-0.26894586750671823	-0.020278354981321543	-0.21155870636022647	-0.06433912011416539	-0.19673470741374205	-0.04626872442777652	-0.1661002822769437	0.023327469507925525	-0.1394212026969312	0.09025825212808122	-0.06348936934208607	0.019608955384903835	-0.06241065089375492	-0.004973878783467985	0.0936147734987305	-0.030700505127513017	0.09307248643118717	-0.09204788241686593	0.2968474911735787	0.17336906588737494	0.4682942874793345	0.07119394360336061	0.4606571752035361	-0.017960084777465225	0.18721442996319976	-0.17857833533865491
c0003d01m19l1_2	c0003d01m19	l	1	2	-0.2534545703287605	0.06237576002607384	-0.23758924162412112	0.014965922848636511	-0.26742987932898726	-0.020117524695237504	-0.21229215812828856	-0.06347889633199408	-0.19730531695577858	-0.04646580473906594	-0.16645064474839155	0.022097621111876603	-0.1387707907267669	0.09024666262083395	-0.06298519533274861	0.02053884774839898	-0.06284747992193697	-0.005259884552727857	0.09418987123527879	-0.029948455712847478	0.0916142978835109	-0.09266897524898329	0.295635617629275	0.17381510093003472	0.468312228086946	0.07049270280185962	0.46150917457449697	-0.01752182627236963	0.18786408768627064	-0.1790712505344872
c0003d01m19l2_1	c0003d01m19	l	2	1	-0.25121236320375806	0.062371896183128966	-0.2370119751001385	0.015348125692120084	-0.26749321484130417	-0.020056087667956357	-0.211851017375082	-0.06398439945847967	-0.19718373465256656	-0.045793156502902034	-0.16817898536364478	0.023695988078506536	-0.1419664072285947	0.08762963064513239	-0.06423110324511229	0.01970619116241853	-0.062405682404960916	-0.004734458697137263	0.0944530879512601	-0.030412590800777323	0.09366461289968908	-0.09138209878600285	0.29611265226938477	0.1737871386553356	0.46841096643072405	0.07018832760340077	0.4621709678162087	-0.017902826578684486	0.18672219604789553	-0.17846167952810116
